17-Nov-2022 10:32:44.955 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Associated with Deployer 'Catalina:type=Deployer,host=localhost'
17-Nov-2022 10:32:44.955 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Global resources are available
17-Nov-2022 10:32:44.962 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-form'
17-Nov-2022 10:32:44.962 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\Usuario\Desktop\jakarta_Experto\apache-tomcat-10.0.27\webapps\webapp-form.war.tmp
17-Nov-2022 11:00:02.543 INFO [http-nio-8080-exec-14] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-headers'
17-Nov-2022 11:00:02.544 INFO [http-nio-8080-exec-14] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\Usuario\Desktop\jakarta_Experto\apache-tomcat-10.0.27\webapps\webapp-headers.war.tmp
17-Nov-2022 11:03:28.798 INFO [http-nio-8080-exec-20] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-headers'
17-Nov-2022 11:03:28.798 INFO [http-nio-8080-exec-20] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\Usuario\Desktop\jakarta_Experto\apache-tomcat-10.0.27\webapps\webapp-headers.war.tmp
17-Nov-2022 11:05:25.437 INFO [http-nio-8080-exec-24] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-headers'
17-Nov-2022 11:05:25.437 INFO [http-nio-8080-exec-24] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\Usuario\Desktop\jakarta_Experto\apache-tomcat-10.0.27\webapps\webapp-headers.war.tmp
17-Nov-2022 11:07:43.151 INFO [http-nio-8080-exec-31] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-headers'
17-Nov-2022 11:07:43.151 INFO [http-nio-8080-exec-31] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\Usuario\Desktop\jakarta_Experto\apache-tomcat-10.0.27\webapps\webapp-headers.war.tmp
17-Nov-2022 11:25:39.261 INFO [http-nio-8080-exec-36] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-headers'
17-Nov-2022 11:25:39.262 INFO [http-nio-8080-exec-36] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\Usuario\Desktop\jakarta_Experto\apache-tomcat-10.0.27\webapps\webapp-headers.war.tmp
17-Nov-2022 11:28:34.065 INFO [http-nio-8080-exec-46] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-headers'
17-Nov-2022 11:28:34.065 INFO [http-nio-8080-exec-46] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\Usuario\Desktop\jakarta_Experto\apache-tomcat-10.0.27\webapps\webapp-headers.war.tmp
17-Nov-2022 11:33:15.604 INFO [http-nio-8080-exec-45] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-headers'
17-Nov-2022 11:33:15.604 INFO [http-nio-8080-exec-45] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\Usuario\Desktop\jakarta_Experto\apache-tomcat-10.0.27\webapps\webapp-headers.war.tmp
